"female" "black" "hispanic" "dadcoll" "momcoll" "ownhome" "urban" "dist" "tuition" "ed" "incomehi" "county" "state"
1 0 0 1 0 1 0 0.8 0.84988 18 1 27 14
0 0 0 1 1 1 0 0.8 0.84988 13 1 45 14
1 0 0 0 1 1 0 0.8 0.84988 13 0 45 14
0 0 0 0 1 1 0 0.8 0.84988 12 0 45 14
1 0 0 1 0 1 0 1.5 0.88915 16 0 17 11
0 0 0 0 0 1 0 1.5 0.88915 13 1 17 11
1 0 0 0 0 1 0 1.5 0.88915 12 0 17 11
1 0 0 0 0 1 0 1.5 0.88915 12 0 17 11
0 0 0 1 1 1 0 1.5 0.88915 15 1 17 11
0 0 0 0 0 1 0 1.5 0.88915 12 0 17 11
1 0 0 0 0 1 0 1.5 0.88915 17 1 17 11
0 0 0 0 0 1 0 1.5 0.88915 17 1 17 11
0 0 0 1 1 1 0 1.5 0.88915 17 1 17 11
0 0 0 0 0 1 1 0.2 0.88915 13 0 38 11
1 0 0 0 0 1 1 0.2 0.88915 14 0 38 11
1 0 0 0 0 1 1 0.2 0.88915 14 0 38 11
1 1 0 0 0 0 1 0.2 0.88915 12 0 38 11
1 0 0 0 1 0 1 0.2 0.88915 12 0 38 11
0 0 0 0 0 1 1 0.2 0.88915 18 0 38 11
1 0 0 1 1 1 0 0.1 0.84988 13 1 24 14
1 0 0 1 0 0 0 0.1 0.84988 15 0 24 14
0 0 0 0 1 1 0 0.1 0.84988 15 1 24 14
1 0 0 0 1 0 1 3.2 1.11201 12 0 55 10
0 0 0 0 0 0 1 3.2 1.11201 16 0 55 10
1 0 0 0 0 1 1 3.2 1.11201 12 0 55 10
0 0 0 1 1 1 1 3.2 1.11201 15 0 55 10
1 0 0 0 0 1 1 3.2 1.11201 12 0 55 10
1 0 0 0 0 1 0 0.6 0.84988 16 1 45 14
0 0 0 0 0 1 0 0 1.11201 15 0 77 10
0 0 0 1 0 1 0 0 1.11201 18 1 77 10
0 0 0 0 0 1 0 0 1.11201 12 0 77 10
1 0 0 0 0 1 0 0 1.11201 15 1 77 10
1 0 0 0 0 1 0 0 1.11201 17 0 77 10
1 0 0 0 0 1 0 0 1.11201 12 0 77 10
0 0 0 0 0 0 0 0.7 0.88915 13 0 28 11
1 0 0 0 0 1 0 0.7 0.88915 12 0 28 11
0 0 0 0 0 1 0 0.7 0.88915 15 0 28 11
0 0 0 0 0 1 0 0.7 0.88915 12 0 28 11
1 0 0 1 1 1 1 1.5 0.84988 14 0 24 14
1 0 0 0 1 1 1 1.5 0.84988 16 0 24 14
0 0 0 0 1 1 1 1.5 0.84988 17 1 24 14
1 0 0 0 0 1 1 1.5 0.84988 16 0 24 14
0 0 0 0 1 1 1 1.5 0.84988 15 1 24 14
0 1 0 0 0 0 1 0.3 1.15242 14 0 53 17
1 0 1 0 0 0 1 0.3 1.15242 17 0 53 17
0 0 0 0 0 1 0 2 1.15242 17 1 36 17
1 1 0 1 1 0 1 0.1 1.15242 16 1 53 17
0 0 0 0 0 1 1 0.1 1.15242 13 0 53 17
0 1 0 0 0 0 1 0 1.15242 12 0 53 17
0 1 0 0 0 1 1 0 1.15242 16 0 53 17
0 0 1 0 0 0 1 0 1.15242 12 0 53 17
0 1 0 0 0 0 1 0 1.15242 14 1 53 17
0 1 0 1 1 1 1 0 1.15242 13 1 53 17
0 1 0 0 1 0 1 0.4 1.15242 15 1 53 17
0 0 0 0 0 1 1 0.4 1.15242 12 0 53 17
0 0 0 0 0 0 1 0 1.15242 17 0 53 17
1 0 0 0 0 1 1 0 1.15242 17 0 53 17
1 0 0 0 0 0 1 0 1.15242 16 0 53 17
1 0 0 1 0 0 1 0 1.15242 17 0 53 17
0 1 0 0 0 1 1 0 1.15242 13 0 53 17
0 0 0 1 1 0 1 1.5 1.15242 16 1 53 17
1 0 0 0 0 0 1 1.5 1.15242 12 0 53 17
0 0 1 0 0 1 1 1.5 1.15242 16 0 53 17
0 1 0 0 0 1 1 1.5 1.15242 13 0 53 17
1 0 0 0 0 1 0 1.5 1.15242 12 0 33 17
1 0 0 1 0 1 0 1.5 1.15242 16 1 33 17
1 0 0 1 0 1 0 1.5 1.15242 16 0 33 17
1 0 0 0 1 1 0 1.5 1.15242 16 0 33 17
1 0 0 0 0 1 1 0.5 1.15242 17 0 53 17
1 0 1 0 1 1 1 0.5 1.15242 14 0 53 17
0 0 0 0 0 1 1 0.5 1.15242 16 0 53 17
1 0 1 0 0 0 1 0.5 1.15242 15 0 53 17
1 0 0 0 0 1 0 0.8 1.15242 15 0 68 17
0 0 0 0 0 1 0 0.8 1.15242 16 0 68 17
1 0 0 0 0 1 0 0.8 1.15242 15 1 68 17
1 0 0 0 0 1 0 0.8 1.15242 15 1 68 17
1 0 0 0 0 1 0 0.8 1.15242 14 1 68 17
1 0 0 0 0 1 0 0.8 1.15242 14 0 68 17
0 0 0 0 0 1 0 0.8 1.15242 12 1 68 17
0 1 0 1 0 1 1 0.3 1.15242 14 0 53 17
1 0 1 0 0 0 1 0.3 1.15242 12 0 53 17
1 1 0 0 0 1 1 0.3 1.15242 13 1 53 17
0 1 0 0 1 1 0 0.3 1.15242 13 1 26 17
1 0 0 1 0 1 0 0.3 1.15242 16 1 26 17
1 0 0 1 0 1 0 0.3 1.15242 12 1 26 17
0 0 0 0 0 1 0 0.3 1.15242 15 0 26 17
1 0 0 0 0 1 0 0.3 1.15242 15 0 26 17
1 0 0 0 0 1 0 4.5 1.15242 12 0 71 17
1 0 0 0 1 1 0 4.5 1.15242 16 1 71 17
0 0 0 0 0 1 0 4.5 1.15242 12 0 71 17
0 0 0 0 0 1 0 4.5 1.15242 18 0 71 17
1 0 0 0 0 1 0 4.5 1.15242 12 1 71 17
1 0 0 0 0 1 0 4.5 1.15242 15 0 71 17
0 0 0 0 0 1 0 4.5 1.15242 15 0 71 17
0 0 0 0 0 1 0 4.5 1.15242 12 0 71 17
1 0 0 0 0 1 0 4.5 1.15242 16 0 71 17
0 0 0 0 0 1 0 4.5 1.15242 12 0 71 17
0 0 0 1 0 1 0 4.5 1.15242 16 0 71 17
0 0 0 1 0 1 0 4.5 1.15242 16 1 71 17
0 1 0 0 0 1 0 4.5 1.15242 15 0 71 17
1 0 0 0 0 1 0 4.5 1.15242 15 0 71 17
1 0 0 1 1 1 0 1.2 1.15242 17 1 36 17
1 0 0 0 0 1 0 0.5 1.15242 12 0 78 17
1 0 0 1 1 1 0 0.5 1.15242 15 1 78 17
1 0 0 0 0 1 0 0.5 1.15242 12 0 78 17
0 0 0 0 0 1 0 0.5 1.15242 12 0 78 17
0 0 0 0 0 1 0 0.5 1.15242 16 0 78 17
1 0 0 0 0 1 0 0.5 1.15242 12 0 78 17
0 0 0 0 0 1 0 0.5 1.15242 17 1 78 17
0 0 0 0 1 1 0 0.5 1.15242 15 0 78 17
1 0 0 0 0 1 0 0.5 1.15242 16 0 78 17
1 0 0 0 0 1 0 0.5 1.15242 16 0 78 17
0 0 0 1 1 1 0 0.5 1.15242 16 1 78 17
0 0 0 0 0 1 0 1.2 1.15242 12 0 26 17
0 0 0 0 0 1 0 1.2 1.15242 13 0 26 17
0 1 0 1 0 1 0 1.2 1.15242 15 0 26 17
1 0 0 0 1 1 0 1.2 1.15242 12 1 26 17
0 0 0 0 0 1 0 1.2 1.15242 12 0 26 17
0 0 0 0 0 1 0 1.2 1.15242 12 0 26 17
0 0 0 1 1 1 0 1.2 1.15242 12 1 26 17
1 0 0 0 0 0 0 0.1 1.15242 16 0 43 17
0 0 0 1 1 1 0 0.1 1.15242 16 0 43 17
1 0 0 1 1 1 0 0.1 1.15242 16 1 43 17
1 0 0 0 0 1 0 0.1 1.15242 12 1 43 17
0 0 0 0 0 1 0 0.1 1.15242 12 0 43 17
1 0 0 1 1 1 0 0.1 1.15242 16 1 43 17
1 0 0 0 1 1 0 0.1 1.15242 16 1 43 17
0 0 0 1 1 1 0 0.1 1.15242 16 0 50 17
0 1 0 0 0 0 0 0.1 1.15242 12 0 50 17
1 0 0 0 0 1 0 0.4 1.15242 15 0 29 17
1 0 0 0 0 1 0 0.4 1.15242 16 1 29 17
1 0 0 0 0 1 0 3.5 1.15242 14 1 53 17
1 0 0 0 0 1 0 3.5 1.15242 13 0 53 17
0 0 0 0 0 1 0 3.5 1.15242 17 1 53 17
0 0 0 0 0 1 0 3.5 1.15242 12 0 53 17
1 0 0 0 0 1 0 3.5 1.15242 12 0 53 17
0 0 0 0 0 1 0 3.5 1.15242 16 1 53 17
0 0 0 1 1 1 0 0.7 1.15242 16 1 26 17
0 0 1 0 0 1 0 0.7 1.15242 14 0 26 17
1 0 0 0 1 1 0 0.7 1.15242 14 0 26 17
1 0 1 0 0 1 0 0.7 1.15242 14 0 26 17
0 0 0 0 0 1 0 1.2 1.15242 16 0 75 17
0 0 0 0 0 1 0 1.2 1.15242 12 0 75 17
1 0 0 0 0 1 0 1.2 1.15242 12 0 75 17
0 0 0 0 0 1 0 1.2 1.15242 12 0 75 17
1 0 0 0 0 1 0 1.2 1.15242 12 0 75 17
0 0 0 1 0 0 0 0.3 1.15242 15 1 17 17
0 0 0 1 1 1 0 0.3 1.15242 16 1 17 17
0 0 0 1 1 1 0 0.3 1.15242 13 1 17 17
0 0 0 1 1 1 0 0.3 1.15242 16 0 17 17
0 1 0 1 1 1 0 0.3 1.15242 15 1 17 17
0 0 0 1 0 1 0 0.3 1.15242 16 1 17 17
1 1 0 1 0 1 0 0.3 1.15242 16 1 17 17
0 1 0 0 0 0 0 0.3 1.15242 16 1 17 17
1 0 0 1 0 0 0 2 1.15242 12 1 60 17
0 0 0 0 0 1 0 2 1.15242 15 0 60 17
0 0 0 0 0 0 0 2 1.15242 12 0 60 17
0 0 0 1 0 1 0 2 1.15242 16 1 60 17
1 0 0 0 0 1 0 2 1.15242 12 0 60 17
1 0 0 0 0 1 0 2 1.15242 12 0 60 17
0 0 0 0 0 0 0 2 1.15242 12 0 60 17
1 0 0 0 0 1 0 2 1.15242 15 0 60 17
0 0 0 0 0 1 0 2 1.15242 12 0 60 17
0 0 0 1 1 1 0 2 1.15242 15 0 60 17
1 0 0 0 0 0 0 2 1.15242 16 0 60 17
0 0 0 1 1 1 0 2 1.15242 16 1 60 17
1 0 0 0 0 1 0 2 1.15242 16 1 60 17
0 1 0 0 0 1 0 1.5 1.15242 12 0 61 17
0 0 0 1 0 1 0 1.5 1.15242 15 0 61 17
1 0 0 0 0 1 0 1.5 1.15242 12 0 61 17
0 0 0 1 1 1 0 1.5 1.15242 16 0 61 17
1 1 0 0 0 1 0 0.5 1.15242 15 0 29 17
1 1 0 0 0 1 0 0.5 1.15242 17 1 29 17
1 1 0 1 0 0 0 0.5 1.15242 12 1 29 17
0 1 0 0 0 1 0 0.5 1.15242 16 1 29 17
0 1 0 1 0 1 0 0.5 1.15242 16 0 29 17
1 1 0 0 0 1 0 0.5 1.15242 12 0 29 17
1 1 0 0 0 0 1 0.7 1.15242 16 0 53 17
0 0 0 1 1 1 1 0.7 1.15242 16 1 53 17
1 0 1 0 0 0 1 0.7 1.15242 12 0 53 17
1 0 0 1 0 1 1 0.7 1.15242 15 0 53 17
1 0 0 0 0 1 0 0 1.15242 12 0 75 17
1 0 0 0 0 1 0 0 1.15242 12 0 75 17
0 0 0 0 0 0 0 2.2 1.15242 15 0 41 17
1 0 0 0 0 1 0 2.2 1.15242 16 0 41 17
1 0 0 0 0 1 0 2.2 1.15242 13 0 41 17
0 0 0 0 0 0 0 2.2 1.15242 12 0 41 17
1 0 0 0 0 1 0 2.2 1.15242 12 0 41 17
1 0 0 1 1 1 0 2.2 1.15242 16 0 41 17
1 1 0 0 0 0 1 0.1 1.15242 13 0 68 17
0 1 0 0 0 0 1 0.1 1.15242 12 0 68 17
1 0 0 0 0 0 1 0.3 1.15242 12 0 68 17
0 0 0 0 0 0 1 0.3 1.15242 16 1 68 17
1 0 0 0 0 1 1 0.3 1.15242 17 0 68 17
1 0 0 0 0 1 0 5.2 1.15242 12 0 94 17
0 0 0 0 0 1 0 5.2 1.15242 12 0 94 17
1 0 0 0 0 0 0 5.2 1.15242 12 0 94 17
1 0 0 0 0 1 0 5.2 1.15242 12 0 94 17
0 0 0 1 1 1 0 5.2 1.15242 16 1 94 17
0 0 0 1 0 1 0 6 1.15242 16 1 53 17
0 0 0 0 0 1 0 6 1.15242 12 0 53 17
0 0 1 0 0 1 0 6 1.15242 15 0 53 17
1 0 0 0 0 1 0 6 1.15242 17 0 53 17
0 0 0 0 0 1 0 6 1.15242 16 1 53 17
1 0 0 0 0 1 0 6 1.15242 12 0 53 17
0 0 0 0 0 1 0 6.5 1.15242 14 0 79 17
1 0 0 0 0 1 0 6.5 1.15242 12 0 79 17
1 0 0 0 1 0 0 6.5 1.15242 16 0 79 17
1 0 0 0 0 1 0 6.5 1.15242 12 1 79 17
0 0 0 1 0 1 0 6.5 1.15242 16 1 79 17
0 0 0 0 0 1 0 6.5 1.15242 12 1 79 17
0 0 0 0 0 0 0 6.5 1.15242 12 0 79 17
1 0 0 0 0 1 0 6.5 1.15242 15 0 79 17
0 0 0 0 0 1 0 6.5 1.15242 16 0 79 17
0 0 0 1 0 0 0 6.5 1.15242 16 0 79 17
0 0 0 0 0 1 0 2 1.15242 15 1 68 17
1 0 0 0 0 1 0 2 1.15242 16 0 68 17
1 0 0 0 0 1 0 2 1.15242 14 1 68 17
1 0 0 1 0 1 0 2 1.15242 18 1 68 17
1 0 1 0 0 1 0 2 1.15242 12 0 68 17
0 0 0 1 0 1 0 2 1.15242 14 1 68 17
0 0 0 0 0 1 0 0.5 1.15242 12 1 26 17
0 0 0 1 1 1 0 0.5 1.15242 15 1 26 17
0 0 0 0 0 1 0 0.5 1.15242 13 0 26 17
0 0 0 1 1 1 0 0.5 1.15242 16 1 26 17
0 0 0 1 0 1 0 0.5 1.15242 13 1 26 17
0 0 0 0 0 1 0 0.5 1.15242 15 1 26 17
1 0 0 1 0 0 0 0.5 1.15242 17 0 26 17
0 0 0 1 0 1 0 0.5 1.15242 15 1 26 17
1 0 0 0 0 1 0 0.5 1.15242 12 0 26 17
1 0 0 1 1 1 0 0.5 1.15242 16 1 26 17
0 0 0 1 0 1 0 0.5 1.15242 15 1 26 17
1 0 0 0 0 1 0 0.5 1.15242 12 0 26 17
0 0 0 1 0 1 0 0.4 1.15242 17 0 36 17
0 0 0 0 0 1 0 0.4 1.15242 12 1 36 17
1 0 0 0 0 1 0 0.4 1.15242 14 0 36 17
1 0 0 0 0 1 0 0.4 1.15242 16 0 36 17
0 0 0 0 0 1 0 0.4 1.15242 13 0 36 17
1 0 0 0 0 1 1 1 1.15242 13 0 53 17
0 0 0 1 0 0 1 1 1.15242 12 0 53 17
1 0 0 0 0 1 1 1 1.15242 14 0 53 17
1 1 0 0 0 1 1 1 1.15242 13 0 53 17
1 1 0 1 0 0 1 1 1.15242 15 0 53 17
0 0 0 0 0 1 1 1 1.15242 12 1 53 17
1 1 0 0 0 0 1 1 1.15242 16 0 53 17
1 1 0 0 0 1 1 1 1.15242 14 0 53 17
1 1 0 0 0 0 1 1 1.15242 12 0 53 17
1 0 0 0 0 1 0 1.1 1.15242 12 0 26 17
0 0 1 0 0 1 0 1.1 1.15242 12 0 26 17
0 0 0 1 1 1 0 1.1 1.15242 15 1 26 17
0 0 0 1 1 0 0 0.1 1.15242 16 1 17 17
0 0 0 1 1 1 0 0.1 1.15242 17 1 17 17
0 0 0 0 1 1 0 0.1 1.15242 17 1 17 17
0 1 0 1 1 1 0 0.1 1.15242 16 1 17 17
1 0 0 0 0 1 0 0.1 1.15242 12 0 17 17
0 1 0 0 0 0 0 0.1 1.15242 12 0 17 17
1 0 1 0 0 0 0 0.1 1.15242 16 0 17 17
0 0 0 1 0 1 0 0.5 1.15242 17 1 24 17
0 0 0 0 0 1 0 0.5 1.15242 17 1 24 17
0 1 0 0 1 1 0 0.5 1.15242 13 1 24 17
1 0 0 0 0 1 0 0.5 1.15242 17 0 24 17
1 0 0 0 0 1 0 0.5 1.15242 12 0 24 17
0 0 0 0 0 1 0 2 1.15242 12 0 39 17
1 0 0 0 0 0 0 2 1.15242 13 1 39 17
1 0 0 0 1 1 0 2 1.15242 16 0 39 17
1 0 0 0 0 0 0 2 1.15242 12 0 39 17
0 0 0 0 0 1 0 2 1.15242 12 0 39 17
1 1 0 0 0 1 1 0.3 1.15242 13 0 53 17
0 1 0 0 0 0 1 0.3 1.15242 12 0 53 17
1 1 0 0 0 0 1 0.3 1.15242 15 0 53 17
0 1 0 0 0 1 1 0.3 1.15242 14 0 53 17
1 1 0 0 0 1 1 0.3 1.15242 13 0 53 17
1 1 0 0 0 0 0 0.1 1.15242 14 0 49 17
0 0 0 0 0 1 0 0.1 1.15242 12 1 49 17
0 0 0 0 0 1 0 0.1 1.15242 17 0 49 17
0 1 0 0 0 1 0 0.1 1.15242 15 0 49 17
1 0 0 0 0 1 0 0.1 1.15242 15 1 49 17
0 0 0 0 0 0 0 1.5 1.12702 16 0 40 25
1 0 0 0 0 0 0 1.5 1.12702 12 1 40 25
0 0 0 0 1 1 0 1.5 1.12702 16 1 40 25
1 0 0 0 0 1 0 1.5 1.12702 16 0 40 25
1 0 0 1 0 1 0 1.5 1.12702 13 0 40 25
0 0 0 1 1 1 0 0.5 1.12702 15 1 29 25
1 0 0 1 1 1 0 0.5 1.12702 17 1 29 25
0 0 0 1 1 1 0 0.5 1.12702 14 0 29 25
0 0 0 1 1 0 0 0.5 1.12702 13 1 29 25
1 0 0 1 1 1 0 0.5 1.12702 13 1 29 25
1 0 0 0 0 1 0 1 1.12702 12 0 21 25
0 0 0 0 0 0 0 1 1.12702 14 1 21 25
0 0 0 0 0 1 0 1 1.12702 12 0 21 25
0 0 1 0 0 1 0 1 1.12702 12 0 21 25
0 0 0 0 0 0 0 1 1.12702 16 0 21 25
0 0 0 0 0 1 0 1.5 1.12702 15 1 35 25
1 0 1 0 0 1 0 1.5 1.12702 15 0 35 25
0 0 0 0 0 1 0 1.5 1.12702 15 0 35 25
0 0 1 0 0 1 0 4.5 1.12702 12 1 47 25
0 0 0 0 0 0 0 0.4 1.12702 14 0 29 25
1 0 0 0 0 1 0 0.7 1.12702 15 0 51 25
1 0 0 0 0 1 0 0.7 1.12702 12 0 51 25
1 0 0 1 0 1 0 0.7 1.12702 12 0 51 25
1 0 0 0 0 1 0 0.7 1.12702 12 0 51 25
0 1 0 0 0 0 0 0.7 1.12702 16 1 50 25
0 1 0 1 1 1 0 0.7 1.12702 16 1 50 25
1 1 0 0 0 1 0 0.7 1.12702 14 0 50 25
