"","shipmode","sales","quantity","discount","profit","segment","region","state","subcategory","category","orderdate_day","orderdate_weekday","orderdate_month","orderdate_year","shipdate_day","shipdate_weekday","shipdate_month","shipdate_year","preparationtime"
"16","Standard Class",212.94,3,0,57.4938,"Home Office","Central","Michigan","Bookcases                                         ","Furniture",14,"Freitag",6,2013,20,"Donnerstag",6,2013,6
"17","Standard Class",638.82,9,0,172.4814,"Consumer","South","Arkansas","Bookcases                                         ","Furniture",19,"Montag",8,2013,26,"Montag",8,2013,7
"18","Standard Class",321.568,2,0.2,-16.0784,"Consumer","East","New York","Bookcases                                         ","Furniture",24,"Donnerstag",11,2016,1,"Donnerstag",12,2016,7
"19","First Class",409.9992,3,0.32,-96.4704,"Consumer","Central","Texas","Bookcases                                         ","Furniture",29,"Mittwoch",6,2016,30,"Donnerstag",6,2016,1
"20","Standard Class",956.6648,7,0.32,-225.0976,"Corporate","Central","Texas","Bookcases                                         ","Furniture",28,"Montag",9,2015,4,"Sonntag",10,2015,6
"21","Standard Class",301.47,3,0.5,-204.9996,"Consumer","East","Pennsylvania","Bookcases                                         ","Furniture",16,"Samstag",8,2014,20,"Mittwoch",8,2014,4
"22","Standard Class",956.6648,7,0.32,-225.0976,"Consumer","Central","Texas","Bookcases                                         ","Furniture",6,"Freitag",11,2015,10,"Dienstag",11,2015,4
"23","Second Class",241.96,2,0,24.196,"Corporate","Central","Wisconsin","Bookcases                                         ","Furniture",14,"Freitag",8,2015,19,"Mittwoch",8,2015,5
"24","Standard Class",205.666,2,0.15,-12.098,"Consumer","West","California","Bookcases                                         ","Furniture",30,"Samstag",3,2013,4,"Donnerstag",4,2013,5
"25","First Class",616.998,6,0.15,-36.294,"Corporate","West","California","Bookcases                                         ","Furniture",28,"Montag",10,2013,31,"Donnerstag",10,2013,3
"26","Standard Class",308.499,3,0.15,-18.147,"Corporate","West","California","Bookcases                                         ","Furniture",12,"Freitag",4,2013,17,"Mittwoch",4,2013,5
"27","First Class",514.165,5,0.15,-30.245,"Home Office","West","California","Bookcases                                         ","Furniture",10,"Freitag",6,2016,13,"Montag",6,2016,3
"28","Standard Class",205.666,2,0.15,-12.098,"Consumer","West","California","Bookcases                                         ","Furniture",4,"Freitag",12,2015,8,"Dienstag",12,2015,4
"29","Standard Class",290.352,3,0.2,-36.294,"Consumer","South","Florida","Bookcases                                         ","Furniture",20,"Donnerstag",11,2014,27,"Donnerstag",11,2014,7
"30","Standard Class",102.833,1,0.15,-6.049,"Consumer","West","California","Bookcases                                         ","Furniture",16,"Samstag",4,2016,20,"Mittwoch",4,2016,4
"31","Standard Class",362.94,3,0,36.294,"Consumer","East","Maryland","Bookcases                                         ","Furniture",20,"Freitag",9,2013,24,"Dienstag",9,2013,4
"32","First Class",120.98,1,0,12.098,"Consumer","East","New Jersey","Bookcases                                         ","Furniture",18,"Sonntag",10,2015,21,"Mittwoch",10,2015,3
"33","First Class",523.26,9,0,125.5824,"Consumer","South","Virginia","Bookcases                                         ","Furniture",16,"Mittwoch",4,2014,18,"Freitag",4,2014,2
"34","First Class",87.21,3,0.5,-45.3492,"Consumer","East","Pennsylvania","Bookcases                                         ","Furniture",7,"Donnerstag",7,2016,9,"Samstag",7,2016,2
"35","Standard Class",186.048,4,0.2,9.3024,"Corporate","East","New York","Bookcases                                         ","Furniture",20,"Donnerstag",11,2014,25,"Dienstag",11,2014,5
"36","Second Class",148.257,3,0.15,15.6978,"Home Office","West","California","Bookcases                                         ","Furniture",9,"Freitag",12,2016,11,"Sonntag",12,2016,2
"37","Second Class",174.42,3,0,41.8608,"Consumer","West","Washington","Bookcases                                         ","Furniture",11,"Samstag",6,2016,13,"Montag",6,2016,2
"38","First Class",90.882,3,0.7,-190.8522,"Corporate","West","Colorado","Bookcases                                         ","Furniture",11,"Sonntag",10,2015,13,"Dienstag",10,2015,2
"39","Standard Class",623.4648,7,0.32,-119.1918,"Corporate","Central","Texas","Bookcases                                         ","Furniture",6,"Freitag",5,2016,11,"Mittwoch",5,2016,5
"40","Second Class",222.666,2,0.15,10.4784,"Consumer","West","California","Bookcases                                         ","Furniture",9,"Samstag",11,2013,11,"Montag",11,2013,2
"41","First Class",89.0664,1,0.32,-17.0274,"Home Office","Central","Texas","Bookcases                                         ","Furniture",18,"Donnerstag",2,2016,20,"Samstag",2,2016,2
"42","Second Class",127.764,6,0.7,-191.646,"Consumer","West","Arizona","Bookcases                                         ","Furniture",14,"Montag",7,2014,19,"Samstag",7,2014,5
"43","Standard Class",193.0656,4,0.32,-19.8744,"Consumer","Central","Texas","Bookcases                                         ","Furniture",20,"Donnerstag",6,2013,24,"Montag",6,2013,4
"44","Standard Class",681.408,12,0.2,42.588,"Consumer","East","New York","Bookcases                                         ","Furniture",30,"Sonntag",11,2014,4,"Donnerstag",12,2014,4
"45","Second Class",212.94,3,0,53.235,"Corporate","Central","Missouri","Bookcases                                         ","Furniture",14,"Donnerstag",1,2016,19,"Dienstag",1,2016,5
"46","First Class",354.9,5,0,88.725,"Consumer","South","Georgia","Bookcases                                         ","Furniture",9,"Donnerstag",4,2015,12,"Sonntag",4,2015,3
"47","Standard Class",84.98,1,0,18.6956,"Home Office","West","Washington","Bookcases                                         ","Furniture",22,"Freitag",1,2016,26,"Dienstag",1,2016,4
"48","Standard Class",339.92,5,0.2,8.498,"Home Office","South","Florida","Bookcases                                         ","Furniture",25,"Mittwoch",11,2015,1,"Dienstag",12,2015,6
"49","First Class",314.352,3,0.2,-15.7176,"Consumer","South","Florida","Bookcases                                         ","Furniture",1,"Sonntag",5,2016,2,"Montag",5,2016,1
"50","Standard Class",130.98,2,0.5,-89.0664,"Consumer","East","Pennsylvania","Bookcases                                         ","Furniture",25,"Donnerstag",8,2016,29,"Montag",8,2016,4
"51","Second Class",261.96,2,0,41.9136,"Consumer","South","Kentucky","Bookcases                                         ","Furniture",9,"Montag",11,2015,12,"Donnerstag",11,2015,3
"52","Standard Class",556.665,5,0.15,6.549,"Consumer","West","California","Bookcases                                         ","Furniture",10,"Freitag",4,2015,15,"Mittwoch",4,2015,5
"53","Standard Class",240.784,1,0.2,30.098,"Consumer","East","New York","Bookcases                                         ","Furniture",7,"Sonntag",2,2016,12,"Freitag",2,2016,5
"54","Second Class",722.352,3,0.2,90.294,"Consumer","East","New York","Bookcases                                         ","Furniture",7,"Montag",9,2015,10,"Donnerstag",9,2015,3
"55","First Class",1279.165,5,0.15,225.735,"Consumer","West","California","Bookcases                                         ","Furniture",5,"Sonntag",7,2015,7,"Dienstag",7,2015,2
"56","Second Class",204.6664,1,0.32,-6.0196,"Consumer","Central","Texas","Bookcases                                         ","Furniture",30,"Montag",5,2016,3,"Freitag",6,2016,4
"57","Standard Class",1023.332,5,0.32,-30.098,"Consumer","Central","Texas","Bookcases                                         ","Furniture",27,"Sonntag",3,2016,1,"Freitag",4,2016,5
"58","Standard Class",180.588,2,0.7,-240.784,"Consumer","West","Colorado","Bookcases                                         ","Furniture",23,"Freitag",9,2016,29,"Donnerstag",9,2016,6
"59","First Class",1227.9984,6,0.32,-36.1176,"Corporate","Central","Texas","Bookcases                                         ","Furniture",1,"Samstag",3,2014,4,"Dienstag",3,2014,3
"60","Standard Class",613.9992,3,0.32,-18.0588,"Consumer","Central","Texas","Bookcases                                         ","Furniture",13,"Donnerstag",11,2014,17,"Montag",11,2014,4
"61","First Class",257.568,2,0.2,-28.9764,"Consumer","East","New York","Bookcases                                         ","Furniture",26,"Samstag",3,2016,27,"Sonntag",3,2016,1
"62","Second Class",482.94,6,0.5,-376.6932,"Corporate","East","Ohio","Bookcases                                         ","Furniture",28,"Samstag",6,2014,3,"Donnerstag",7,2014,5
"63","Standard Class",273.666,2,0.15,-12.8784,"Corporate","West","California","Bookcases                                         ","Furniture",17,"Donnerstag",9,2015,23,"Mittwoch",9,2015,6
"64","Standard Class",302.45,5,0.5,-199.617,"Corporate","East","Ohio","Bookcases                                         ","Furniture",3,"Sonntag",3,2013,8,"Freitag",3,2013,5
"65","Standard Class",387.136,4,0.2,-14.5176,"Home Office","South","Tennessee","Bookcases                                         ","Furniture",23,"Samstag",4,2016,27,"Mittwoch",4,2016,4
"66","Standard Class",217.764,6,0.7,-384.7164,"Consumer","West","Oregon","Bookcases                                         ","Furniture",2,"Sonntag",10,2016,8,"Samstag",10,2016,6
"67","First Class",181.47,5,0.7,-320.597,"Consumer","West","Arizona","Bookcases                                         ","Furniture",19,"Samstag",1,2013,20,"Sonntag",1,2013,1
"68","Standard Class",1336.829,13,0.15,31.4548,"Consumer","West","California","Bookcases                                         ","Furniture",8,"Donnerstag",12,2016,12,"Montag",12,2016,4
"69","Standard Class",72.588,2,0.7,-128.2388,"Corporate","West","Oregon","Bookcases                                         ","Furniture",19,"Montag",9,2016,25,"Sonntag",9,2016,6
"70","Second Class",241.96,2,0,41.1332,"Home Office","Central","Michigan","Bookcases                                         ","Furniture",22,"Donnerstag",9,2016,24,"Samstag",9,2016,2
"71","Standard Class",327.7328,2,0.32,-14.4588,"Consumer","Central","Texas","Bookcases                                         ","Furniture",17,"Donnerstag",11,2016,23,"Mittwoch",11,2016,6
"72","Second Class",72.294,1,0.7,-98.8018,"Consumer","West","Colorado","Bookcases                                         ","Furniture",20,"Freitag",3,2015,22,"Sonntag",3,2015,2
"73","Second Class",119.833,1,0.15,-12.6882,"Consumer","West","California","Bookcases                                         ","Furniture",18,"Sonntag",12,2016,23,"Freitag",12,2016,5
"74","Standard Class",2003.92,5,0.2,-25.049,"Consumer","East","New York","Bookcases                                         ","Furniture",17,"Mittwoch",9,2014,23,"Dienstag",9,2014,6
"75","Standard Class",451.136,4,0.2,-67.6704,"Consumer","South","North Carolina","Bookcases                                         ","Furniture",22,"Donnerstag",1,2015,28,"Mittwoch",1,2015,6
"76","Standard Class",3406.664,8,0.15,160.3136,"Consumer","West","California","Bookcases                                         ","Furniture",27,"Freitag",11,2015,1,"Dienstag",12,2015,4
"77","First Class",801.568,2,0.2,-10.0196,"Consumer","East","New York","Bookcases                                         ","Furniture",20,"Freitag",9,2013,23,"Montag",9,2013,3
"78","Standard Class",359.499,3,0.15,-29.6058,"Consumer","West","California","Bookcases                                         ","Furniture",25,"Freitag",11,2016,29,"Dienstag",11,2016,4
"79","Same Day",425.833,1,0.15,20.0392,"Consumer","West","California","Bookcases                                         ","Furniture",31,"Freitag",10,2014,31,"Freitag",10,2014,0
"80","Second Class",400.784,1,0.2,-5.0098,"Consumer","East","New York","Bookcases                                         ","Furniture",25,"Samstag",6,2016,27,"Montag",6,2016,2
"81","Second Class",704.9,5,0,56.392,"Consumer","West","Washington","Bookcases                                         ","Furniture",25,"Freitag",7,2014,27,"Sonntag",7,2014,2
"82","Standard Class",359.499,3,0.15,-29.6058,"Consumer","West","California","Bookcases                                         ","Furniture",3,"Mittwoch",12,2014,7,"Sonntag",12,2014,4
"83","Standard Class",4007.84,10,0.2,-50.098,"Consumer","East","New York","Bookcases                                         ","Furniture",17,"Sonntag",11,2013,22,"Freitag",11,2013,5
"84","Standard Class",220.2656,4,0.32,-42.1096,"Corporate","Central","Texas","Bookcases                                         ","Furniture",27,"Mittwoch",4,2016,1,"Sonntag",5,2016,4
"85","Standard Class",388.704,6,0.2,-4.8588,"Consumer","East","New York","Bookcases                                         ","Furniture",9,"Donnerstag",4,2015,14,"Dienstag",4,2015,5
"86","Second Class",145.764,6,0.7,-247.7988,"Consumer","West","Colorado","Bookcases                                         ","Furniture",20,"Donnerstag",11,2014,23,"Sonntag",11,2014,3
"87","Second Class",521.96,4,0.5,-250.5408,"Corporate","East","Pennsylvania","Bookcases                                         ","Furniture",11,"Montag",11,2013,15,"Freitag",11,2013,4
"88","First Class",1552.831,7,0.15,200.9546,"Corporate","West","California","Bookcases                                         ","Furniture",31,"Sonntag",8,2014,2,"Dienstag",9,2014,2
"89","First Class",626.352,3,0.2,46.9764,"Home Office","East","New York","Bookcases                                         ","Furniture",12,"Sonntag",10,2014,14,"Dienstag",10,2014,2
"90","Second Class",782.94,3,0,203.5644,"Consumer","East","Massachusetts","Bookcases                                         ","Furniture",15,"Donnerstag",9,2016,17,"Samstag",9,2016,2
"91","Standard Class",532.3992,3,0.32,-46.9764,"Home Office","Central","Texas","Bookcases                                         ","Furniture",27,"Samstag",12,2014,31,"Mittwoch",12,2014,4
"92","Standard Class",913.43,5,0.3,-52.196,"Consumer","Central","Illinois","Bookcases                                         ","Furniture",20,"Sonntag",7,2014,27,"Sonntag",7,2014,7
"93","Standard Class",1565.88,6,0,407.1288,"Corporate","Central","Wisconsin","Bookcases                                         ","Furniture",8,"Donnerstag",1,2015,12,"Montag",1,2015,4
"94","Same Day",1043.92,4,0,271.4192,"Corporate","East","Connecticut","Bookcases                                         ","Furniture",22,"Donnerstag",10,2015,22,"Donnerstag",10,2015,0
"95","Standard Class",141.96,2,0,41.1684,"Consumer","West","Washington","Bookcases                                         ","Furniture",1,"Donnerstag",12,2016,8,"Donnerstag",12,2016,7
"96","Standard Class",283.92,4,0,82.3368,"Consumer","East","Delaware","Bookcases                                         ","Furniture",6,"Donnerstag",2,2014,13,"Donnerstag",2,2014,7
"97","First Class",638.82,9,0,185.2578,"Corporate","East","Connecticut","Bookcases                                         ","Furniture",29,"Mittwoch",6,2016,2,"Samstag",7,2016,3
"98","Standard Class",141.96,2,0,41.1684,"Consumer","West","Nevada","Bookcases                                         ","Furniture",21,"Freitag",11,2014,25,"Dienstag",11,2014,4
"99","Same Day",113.568,2,0.2,12.7764,"Home Office","East","New York","Bookcases                                         ","Furniture",22,"Sonntag",11,2015,22,"Sonntag",11,2015,0
"100","Second Class",1194.165,5,0.15,210.735,"Corporate","West","California","Bookcases                                         ","Furniture",17,"Sonntag",7,2016,19,"Dienstag",7,2016,2
"101","Standard Class",449.568,2,0.2,56.196,"Consumer","East","New York","Bookcases                                         ","Furniture",25,"Donnerstag",12,2014,30,"Dienstag",12,2014,5
"102","Second Class",1573.488,7,0.2,196.686,"Corporate","East","New York","Bookcases                                         ","Furniture",31,"Dienstag",12,2013,4,"Samstag",1,2014,4
"103","Standard Class",590.058,7,0.7,-786.744,"Consumer","West","Colorado","Bookcases                                         ","Furniture",24,"Mittwoch",12,2014,28,"Sonntag",12,2014,4
"104","First Class",899.136,4,0.2,112.392,"Home Office","East","New York","Bookcases                                         ","Furniture",12,"Sonntag",10,2014,14,"Dienstag",10,2014,2
"105","First Class",477.666,2,0.15,84.294,"Corporate","West","California","Bookcases                                         ","Furniture",26,"Samstag",9,2015,28,"Montag",9,2015,2
"106","Standard Class",301.96,2,0,60.392,"Home Office","East","Massachusetts","Bookcases                                         ","Furniture",6,"Sonntag",7,2014,11,"Freitag",7,2014,5
"107","Standard Class",205.3328,2,0.32,-36.2352,"Corporate","Central","Texas","Bookcases                                         ","Furniture",31,"Donnerstag",3,2016,4,"Montag",4,2016,4
"108","Standard Class",241.568,2,0.2,0,"Consumer","South","Florida","Bookcases                                         ","Furniture",3,"Freitag",6,2016,10,"Freitag",6,2016,7
"109","Standard Class",131.104,2,0.2,8.194,"Corporate","South","Tennessee","Bookcases                                         ","Furniture",27,"Samstag",12,2014,31,"Mittwoch",12,2014,4
"110","Standard Class",163.88,2,0,40.97,"Home Office","West","Washington","Bookcases                                         ","Furniture",21,"Montag",9,2015,25,"Freitag",9,2015,4
"111","First Class",81.94,1,0,20.485,"Corporate","East","Massachusetts","Bookcases                                         ","Furniture",6,"Sonntag",12,2015,8,"Dienstag",12,2015,2
"112","Standard Class",163.88,4,0.5,-81.94,"Corporate","East","Pennsylvania","Bookcases                                         ","Furniture",30,"Sonntag",8,2015,4,"Freitag",9,2015,5
"113","Standard Class",1367.84,8,0,259.8896,"Corporate","West","Washington","Bookcases                                         ","Furniture",30,"Dienstag",7,2013,5,"Montag",8,2013,6
"114","Standard Class",435.999,3,0.15,20.5176,"Corporate","West","California","Bookcases                                         ","Furniture",23,"Montag",9,2013,28,"Samstag",9,2013,5
"115","Standard Class",512.94,3,0,97.4586,"Consumer","Central","Wisconsin","Bookcases                                         ","Furniture",8,"Samstag",3,2014,12,"Mittwoch",3,2014,4
"116","Second Class",170.98,1,0,32.4862,"Home Office","East","Massachusetts","Bookcases                                         ","Furniture",27,"Donnerstag",11,2014,29,"Samstag",11,2014,2
"117","First Class",183.372,2,0.3,-36.6744,"Consumer","Central","Illinois","Bookcases                                         ","Furniture",3,"Mittwoch",8,2016,4,"Donnerstag",8,2016,1
"118","Standard Class",333.999,3,0.15,3.9294,"Consumer","West","California","Bookcases                                         ","Furniture",13,"Sonntag",1,2013,18,"Freitag",1,2013,5
"119","First Class",556.665,5,0.15,6.549,"Corporate","West","California","Bookcases                                         ","Furniture",27,"Donnerstag",10,2016,28,"Freitag",10,2016,1
"120","Standard Class",314.352,3,0.2,-15.7176,"Consumer","East","New York","Bookcases                                         ","Furniture",9,"Sonntag",10,2016,14,"Freitag",10,2016,5
"121","Standard Class",523.92,5,0.2,-26.196,"Consumer","East","New York","Bookcases                                         ","Furniture",1,"Donnerstag",10,2015,5,"Montag",10,2015,4
"122","Second Class",344.94,3,0,31.0446,"Consumer","East","Maryland","Bookcases                                         ","Furniture",4,"Freitag",9,2015,9,"Mittwoch",9,2015,5
"123","Second Class",195.466,2,0.15,-13.7976,"Consumer","West","California","Bookcases                                         ","Furniture",17,"Donnerstag",7,2014,19,"Samstag",7,2014,2
"124","First Class",183.968,2,0.2,-25.2956,"Consumer","East","New York","Bookcases                                         ","Furniture",20,"Sonntag",11,2016,22,"Dienstag",11,2016,2
"125","First Class",156.3728,2,0.32,-52.8908,"Consumer","Central","Texas","Bookcases                                         ","Furniture",29,"Samstag",8,2015,1,"Dienstag",9,2015,3
"126","Second Class",275.952,3,0.2,-37.9434,"Home Office","East","New York","Bookcases                                         ","Furniture",25,"Montag",11,2013,29,"Freitag",11,2013,4
"127","Standard Class",293.199,3,0.15,-20.6964,"Consumer","West","California","Bookcases                                         ","Furniture",5,"Freitag",9,2014,9,"Dienstag",9,2014,4
"128","Standard Class",459.92,4,0,41.3928,"Consumer","Central","Wisconsin","Bookcases                                         ","Furniture",8,"Donnerstag",12,2016,13,"Dienstag",12,2016,5
"129","First Class",883.92,5,0.2,-110.49,"Consumer","East","New York","Bookcases                                         ","Furniture",2,"Montag",12,2013,4,"Mittwoch",12,2013,2
"130","Second Class",1352.3976,9,0.32,-437.5404,"Consumer","Central","Texas","Bookcases                                         ","Furniture",3,"Freitag",1,2014,8,"Mittwoch",1,2014,5
"131","Standard Class",300.5328,2,0.32,-97.2312,"Home Office","Central","Texas","Bookcases                                         ","Furniture",25,"Mittwoch",9,2013,30,"Montag",9,2013,5
"132","Standard Class",353.568,2,0.2,-44.196,"Consumer","East","New York","Bookcases                                         ","Furniture",22,"Montag",6,2015,27,"Samstag",6,2015,5
"133","Standard Class",176.784,1,0.2,-22.098,"Consumer","East","New York","Bookcases                                         ","Furniture",11,"Mittwoch",3,2015,17,"Dienstag",3,2015,6
"134","Standard Class",353.568,2,0.2,-44.196,"Consumer","East","New York","Bookcases                                         ","Furniture",4,"Dienstag",6,2013,9,"Sonntag",6,2013,5
"135","Second Class",1292.94,3,0,77.5764,"Corporate","West","Utah","Bookcases                                         ","Furniture",17,"Samstag",9,2016,21,"Mittwoch",9,2016,4
"136","Standard Class",2154.9,5,0,129.294,"Consumer","East","New Jersey","Bookcases                                         ","Furniture",12,"Mittwoch",10,2016,16,"Sonntag",10,2016,4
"137","First Class",61.96,4,0.5,-53.2856,"Corporate","East","Pennsylvania","Bookcases                                         ","Furniture",14,"Montag",1,2013,15,"Dienstag",1,2013,1
"138","Standard Class",198.272,8,0.2,-32.2192,"Corporate","South","North Carolina","Bookcases                                         ","Furniture",14,"Donnerstag",4,2016,18,"Montag",4,2016,4
"139","Second Class",61.96,2,0,4.3372,"Home Office","South","Virginia","Bookcases                                         ","Furniture",19,"Freitag",9,2014,24,"Mittwoch",9,2014,5
"140","Standard Class",323.136,4,0.2,12.1176,"Consumer","East","New York","Bookcases                                         ","Furniture",30,"Freitag",12,2016,3,"Dienstag",1,2017,4
"141","Standard Class",205.9992,3,0.32,-27.2646,"Corporate","Central","Texas","Bookcases                                         ","Furniture",13,"Sonntag",11,2016,19,"Samstag",11,2016,6
"142","Standard Class",257.499,3,0.15,24.2352,"Consumer","West","California","Bookcases                                         ","Furniture",18,"Samstag",4,2015,22,"Mittwoch",4,2015,4
"143","Standard Class",242.352,3,0.2,9.0882,"Consumer","East","New York","Bookcases                                         ","Furniture",14,"Donnerstag",4,2016,19,"Dienstag",4,2016,5
"144","First Class",141.372,2,0.3,-14.1372,"Corporate","Central","Illinois","Bookcases                                         ","Furniture",24,"Donnerstag",12,2015,25,"Freitag",12,2015,1
"145","Standard Class",302.94,3,0,69.6762,"Consumer","South","Virginia","Bookcases                                         ","Furniture",21,"Donnerstag",7,2016,27,"Mittwoch",7,2016,6
"146","Standard Class",405.86,7,0,32.4688,"Consumer","Central","Wisconsin","Bookcases                                         ","Furniture",9,"Mittwoch",12,2015,13,"Sonntag",12,2015,4
"147","Standard Class",69.576,4,0.7,-143.7904,"Consumer","West","Colorado","Bookcases                                         ","Furniture",11,"Donnerstag",12,2014,16,"Dienstag",12,2014,5
"148","Standard Class",173.94,3,0,13.9152,"Home Office","East","Massachusetts","Bookcases                                         ","Furniture",9,"Mittwoch",9,2015,15,"Dienstag",9,2015,6
"149","First Class",424.116,6,0.3,-30.294,"Consumer","Central","Illinois","Bookcases                                         ","Furniture",18,"Montag",11,2013,21,"Donnerstag",11,2013,3
"150","Standard Class",242.352,8,0.7,-363.528,"Corporate","West","Colorado","Bookcases                                         ","Furniture",2,"Freitag",12,2016,6,"Dienstag",12,2016,4
"151","Standard Class",504.9,5,0,126.225,"Consumer","South","Mississippi","Bookcases                                         ","Furniture",20,"Montag",7,2015,26,"Sonntag",7,2015,6
"152","First Class",302.94,3,0,75.735,"Corporate","South","Georgia","Bookcases                                         ","Furniture",18,"Mittwoch",5,2016,19,"Donnerstag",5,2016,1
"153","Standard Class",441.96,2,0,101.6508,"Corporate","East","Delaware","Bookcases                                         ","Furniture",2,"Mittwoch",3,2016,8,"Dienstag",3,2016,6
"154","Second Class",220.98,1,0,50.8254,"Corporate","East","Rhode Island","Bookcases                                         ","Furniture",22,"Donnerstag",12,2016,27,"Dienstag",12,2016,5
"155","Standard Class",66.294,1,0.7,-103.8606,"Consumer","West","Oregon","Bookcases                                         ","Furniture",5,"Sonntag",10,2014,9,"Donnerstag",10,2014,4
"156","Standard Class",586.398,6,0.15,34.494,"Corporate","West","California","Bookcases                                         ","Furniture",21,"Donnerstag",8,2014,26,"Dienstag",8,2014,5
"157","Second Class",781.864,10,0.32,-137.976,"Corporate","Central","Texas","Bookcases                                         ","Furniture",3,"Donnerstag",12,2015,5,"Samstag",12,2015,2
"158","Standard Class",120.666,2,0.15,21.294,"Home Office","West","California","Bookcases                                         ","Furniture",18,"Sonntag",10,2015,22,"Donnerstag",10,2015,4
"159","First Class",482.664,8,0.15,85.176,"Corporate","West","California","Bookcases                                         ","Furniture",1,"Freitag",4,2016,3,"Sonntag",4,2016,2
"160","Standard Class",198.744,4,0.3,0,"Consumer","Central","Illinois","Bookcases                                         ","Furniture",4,"Freitag",9,2015,8,"Dienstag",9,2015,4
"161","Standard Class",307.666,2,0.15,-14.4784,"Consumer","West","California","Bookcases                                         ","Furniture",7,"Freitag",10,2016,13,"Donnerstag",10,2016,6
"162","Standard Class",369.1992,3,0.32,-114.0174,"Corporate","Central","Texas","Bookcases                                         ","Furniture",6,"Mittwoch",8,2014,10,"Sonntag",8,2014,4
"163","Second Class",246.1328,2,0.32,-76.0116,"Corporate","Central","Texas","Bookcases                                         ","Furniture",21,"Freitag",11,2014,26,"Mittwoch",11,2014,5
"164","Standard Class",723.92,5,0.2,-81.441,"Consumer","South","Florida","Bookcases                                         ","Furniture",25,"Freitag",11,2016,30,"Mittwoch",11,2016,5
"165","Second Class",435.999,3,0.15,5.1294,"Consumer","West","California","Bookcases                                         ","Furniture",30,"Donnerstag",6,2016,2,"Samstag",7,2016,2
"166","First Class",341.96,2,0,54.7136,"Consumer","Central","Oklahoma","Bookcases                                         ","Furniture",11,"Mittwoch",11,2015,13,"Freitag",11,2015,2
"167","Standard Class",359.058,3,0.3,-71.8116,"Consumer","Central","Illinois","Bookcases                                         ","Furniture",20,"Samstag",12,2014,25,"Donnerstag",12,2014,5
"168","First Class",290.666,2,0.15,3.4196,"Consumer","West","California","Bookcases                                         ","Furniture",31,"Donnerstag",1,2013,2,"Samstag",2,2013,2
"169","Standard Class",203.983,2,0.15,16.7986,"Home Office","West","California","Bookcases                                         ","Furniture",11,"Donnerstag",2,2016,15,"Montag",2,2016,4
"170","First Class",359.97,3,0,79.1934,"Consumer","South","Virginia","Bookcases                                         ","Furniture",7,"Sonntag",2,2016,10,"Mittwoch",2,2016,3
"171","First Class",305.9745,3,0.15,25.1979,"Corporate","West","California","Bookcases                                         ","Furniture",16,"Samstag",11,2013,18,"Montag",11,2013,2
"172","Standard Class",917.9235,9,0.15,75.5937,"Consumer","West","California","Bookcases                                         ","Furniture",18,"Samstag",6,2016,23,"Donnerstag",6,2016,5
