shipmode,sales,quantity,discount_pct,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_weekday,shipdate_month,shipdate_year,preparationtime,order_date,ship_date,profit_pct
Standard Class,273.666,2,15.0,-12.8784,Corporate,West,California,Bookcases                                         ,Furniture,17,Thursday,9,2015,23,Wednesday,9,2015,6,2015-09-17,2015-09-23,-4.705882352941177
Standard Class,302.45,5,50.0,-199.617,Corporate,East,Ohio,Bookcases                                         ,Furniture,3,Sunday,3,2013,8,Friday,3,2013,5,2013-03-03,2013-03-08,-66.0
Standard Class,387.136,4,20.0,-14.5176,Home Office,South,Tennessee,Bookcases                                         ,Furniture,23,Saturday,4,2016,27,Wednesday,4,2016,4,2016-04-23,2016-04-27,-3.75
Standard Class,217.764,6,70.0,-384.7164,Consumer,West,Oregon,Bookcases                                         ,Furniture,2,Sunday,10,2016,8,Saturday,10,2016,6,2016-10-02,2016-10-08,-176.66666666666666
First Class,181.47,5,70.0,-320.597,Consumer,West,Arizona,Bookcases                                         ,Furniture,19,Saturday,1,2013,20,Sunday,1,2013,1,2013-01-19,2013-01-20,-176.66666666666666
Standard Class,1336.829,13,15.0,31.4548,Consumer,West,California,Bookcases                                         ,Furniture,8,Thursday,12,2016,12,Monday,12,2016,4,2016-12-08,2016-12-12,2.3529411764705883
Standard Class,72.588,2,70.0,-128.2388,Corporate,West,Oregon,Bookcases                                         ,Furniture,19,Monday,9,2016,25,Sunday,9,2016,6,2016-09-19,2016-09-25,-176.66666666666669
Second Class,241.96,2,0.0,41.1332,Home Office,Central,Michigan,Bookcases                                         ,Furniture,22,Thursday,9,2016,24,Saturday,9,2016,2,2016-09-22,2016-09-24,17.0
Standard Class,327.7328,2,32.0,-14.4588,Consumer,Central,Texas,Bookcases                                         ,Furniture,17,Thursday,11,2016,23,Wednesday,11,2016,6,2016-11-17,2016-11-23,-4.411764705882353
Second Class,72.294,1,70.0,-98.8018,Consumer,West,Colorado,Bookcases                                         ,Furniture,20,Friday,3,2015,22,Sunday,3,2015,2,2015-03-20,2015-03-22,-136.66666666666666
Second Class,119.833,1,15.0,-12.6882,Consumer,West,California,Bookcases                                         ,Furniture,18,Sunday,12,2016,23,Friday,12,2016,5,2016-12-18,2016-12-23,-10.588235294117647
Standard Class,2003.92,5,20.0,-25.049,Consumer,East,New York,Bookcases                                         ,Furniture,17,Wednesday,9,2014,23,Tuesday,9,2014,6,2014-09-17,2014-09-23,-1.25
Standard Class,451.136,4,20.0,-67.6704,Consumer,South,North Carolina,Bookcases                                         ,Furniture,22,Thursday,1,2015,28,Wednesday,1,2015,6,2015-01-22,2015-01-28,-15.0
Standard Class,3406.664,8,15.0,160.3136,Consumer,West,California,Bookcases                                         ,Furniture,27,Friday,11,2015,1,Tuesday,12,2015,4,2015-11-27,2015-12-01,4.705882352941177
First Class,801.568,2,20.0,-10.0196,Consumer,East,New York,Bookcases                                         ,Furniture,20,Friday,9,2013,23,Monday,9,2013,3,2013-09-20,2013-09-23,-1.25
Standard Class,359.499,3,15.0,-29.6058,Consumer,West,California,Bookcases                                         ,Furniture,25,Friday,11,2016,29,Tuesday,11,2016,4,2016-11-25,2016-11-29,-8.235294117647058
Same Day,425.833,1,15.0,20.0392,Consumer,West,California,Bookcases                                         ,Furniture,31,Friday,10,2014,31,Friday,10,2014,0,2014-10-31,2014-10-31,4.705882352941177
Second Class,400.784,1,20.0,-5.0098,Consumer,East,New York,Bookcases                                         ,Furniture,25,Saturday,6,2016,27,Monday,6,2016,2,2016-06-25,2016-06-27,-1.25
Second Class,704.9,5,0.0,56.392,Consumer,West,Washington,Bookcases                                         ,Furniture,25,Friday,7,2014,27,Sunday,7,2014,2,2014-07-25,2014-07-27,8.0
Standard Class,359.499,3,15.0,-29.6058,Consumer,West,California,Bookcases                                         ,Furniture,3,Wednesday,12,2014,7,Sunday,12,2014,4,2014-12-03,2014-12-07,-8.235294117647058
Standard Class,4007.84,10,20.0,-50.098,Consumer,East,New York,Bookcases                                         ,Furniture,17,Sunday,11,2013,22,Friday,11,2013,5,2013-11-17,2013-11-22,-1.25
Standard Class,220.2656,4,32.0,-42.1096,Corporate,Central,Texas,Bookcases                                         ,Furniture,27,Wednesday,4,2016,1,Sunday,5,2016,4,2016-04-27,2016-05-01,-19.11764705882353
Standard Class,388.704,6,20.0,-4.8588,Consumer,East,New York,Bookcases                                         ,Furniture,9,Thursday,4,2015,14,Tuesday,4,2015,5,2015-04-09,2015-04-14,-1.25
Second Class,145.764,6,70.0,-247.7988,Consumer,West,Colorado,Bookcases                                         ,Furniture,20,Thursday,11,2014,23,Sunday,11,2014,3,2014-11-20,2014-11-23,-170.0
Second Class,521.96,4,50.0,-250.5408,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,11,Monday,11,2013,15,Friday,11,2013,4,2013-11-11,2013-11-15,-47.99999999999999
First Class,1552.831,7,15.0,200.9546,Corporate,West,California,Bookcases                                         ,Furniture,31,Sunday,8,2014,2,Tuesday,9,2014,2,2014-08-31,2014-09-02,12.941176470588237
First Class,626.352,3,20.0,46.9764,Home Office,East,New York,Bookcases                                         ,Furniture,12,Sunday,10,2014,14,Tuesday,10,2014,2,2014-10-12,2014-10-14,7.5
Second Class,782.94,3,0.0,203.5644,Consumer,East,Massachusetts,Bookcases                                         ,Furniture,15,Thursday,9,2016,17,Saturday,9,2016,2,2016-09-15,2016-09-17,26.0
Standard Class,532.3992,3,32.0,-46.9764,Home Office,Central,Texas,Bookcases                                         ,Furniture,27,Saturday,12,2014,31,Wednesday,12,2014,4,2014-12-27,2014-12-31,-8.823529411764707
Standard Class,913.43,5,30.0,-52.196,Consumer,Central,Illinois,Bookcases                                         ,Furniture,20,Sunday,7,2014,27,Sunday,7,2014,7,2014-07-20,2014-07-27,-5.714285714285714
Standard Class,1565.88,6,0.0,407.1288,Corporate,Central,Wisconsin,Bookcases                                         ,Furniture,8,Thursday,1,2015,12,Monday,1,2015,4,2015-01-08,2015-01-12,26.0
Same Day,1043.92,4,0.0,271.4192,Corporate,East,Connecticut,Bookcases                                         ,Furniture,22,Thursday,10,2015,22,Thursday,10,2015,0,2015-10-22,2015-10-22,25.999999999999996
Standard Class,141.96,2,0.0,41.1684,Consumer,West,Washington,Bookcases                                         ,Furniture,1,Thursday,12,2016,8,Thursday,12,2016,7,2016-12-01,2016-12-08,28.999999999999996
Standard Class,283.92,4,0.0,82.3368,Consumer,East,Delaware,Bookcases                                         ,Furniture,6,Thursday,2,2014,13,Thursday,2,2014,7,2014-02-06,2014-02-13,28.999999999999996
First Class,638.82,9,0.0,185.2578,Corporate,East,Connecticut,Bookcases                                         ,Furniture,29,Wednesday,6,2016,2,Saturday,7,2016,3,2016-06-29,2016-07-02,28.999999999999996
Standard Class,141.96,2,0.0,41.1684,Consumer,West,Nevada,Bookcases                                         ,Furniture,21,Friday,11,2014,25,Tuesday,11,2014,4,2014-11-21,2014-11-25,28.999999999999996
Same Day,113.568,2,20.0,12.7764,Home Office,East,New York,Bookcases                                         ,Furniture,22,Sunday,11,2015,22,Sunday,11,2015,0,2015-11-22,2015-11-22,11.25
Second Class,1194.165,5,15.0,210.735,Corporate,West,California,Bookcases                                         ,Furniture,17,Sunday,7,2016,19,Tuesday,7,2016,2,2016-07-17,2016-07-19,17.647058823529413
Standard Class,449.568,2,20.0,56.196,Consumer,East,New York,Bookcases                                         ,Furniture,25,Thursday,12,2014,30,Tuesday,12,2014,5,2014-12-25,2014-12-30,12.5
Second Class,1573.488,7,20.0,196.686,Corporate,East,New York,Bookcases                                         ,Furniture,31,Tuesday,12,2013,4,Saturday,1,2014,4,2013-12-31,2014-01-04,12.5
Standard Class,590.058,7,70.0,-786.744,Consumer,West,Colorado,Bookcases                                         ,Furniture,24,Wednesday,12,2014,28,Sunday,12,2014,4,2014-12-24,2014-12-28,-133.33333333333334
First Class,899.136,4,20.0,112.392,Home Office,East,New York,Bookcases                                         ,Furniture,12,Sunday,10,2014,14,Tuesday,10,2014,2,2014-10-12,2014-10-14,12.5
First Class,477.666,2,15.0,84.294,Corporate,West,California,Bookcases                                         ,Furniture,26,Saturday,9,2015,28,Monday,9,2015,2,2015-09-26,2015-09-28,17.64705882352941
Standard Class,301.96,2,0.0,60.392,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,6,Sunday,7,2014,11,Friday,7,2014,5,2014-07-06,2014-07-11,20.0
Standard Class,205.3328,2,32.0,-36.2352,Corporate,Central,Texas,Bookcases                                         ,Furniture,31,Thursday,3,2016,4,Monday,4,2016,4,2016-03-31,2016-04-04,-17.647058823529413
Standard Class,241.568,2,20.0,0.0,Consumer,South,Florida,Bookcases                                         ,Furniture,3,Friday,6,2016,10,Friday,6,2016,7,2016-06-03,2016-06-10,0.0
Standard Class,131.104,2,20.0,8.194,Corporate,South,Tennessee,Bookcases                                         ,Furniture,27,Saturday,12,2014,31,Wednesday,12,2014,4,2014-12-27,2014-12-31,6.25
Standard Class,163.88,2,0.0,40.97,Home Office,West,Washington,Bookcases                                         ,Furniture,21,Monday,9,2015,25,Friday,9,2015,4,2015-09-21,2015-09-25,25.0
First Class,81.94,1,0.0,20.485,Corporate,East,Massachusetts,Bookcases                                         ,Furniture,6,Sunday,12,2015,8,Tuesday,12,2015,2,2015-12-06,2015-12-08,25.0
Standard Class,163.88,4,50.0,-81.94,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,30,Sunday,8,2015,4,Friday,9,2015,5,2015-08-30,2015-09-04,-50.0
Standard Class,1367.84,8,0.0,259.8896,Corporate,West,Washington,Bookcases                                         ,Furniture,30,Tuesday,7,2013,5,Monday,8,2013,6,2013-07-30,2013-08-05,19.0
Standard Class,435.999,3,15.0,20.5176,Corporate,West,California,Bookcases                                         ,Furniture,23,Monday,9,2013,28,Saturday,9,2013,5,2013-09-23,2013-09-28,4.705882352941177
Standard Class,512.94,3,0.0,97.4586,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,8,Saturday,3,2014,12,Wednesday,3,2014,4,2014-03-08,2014-03-12,18.999999999999996
Second Class,170.98,1,0.0,32.4862,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,27,Thursday,11,2014,29,Saturday,11,2014,2,2014-11-27,2014-11-29,19.0
First Class,183.372,2,30.0,-36.6744,Consumer,Central,Illinois,Bookcases                                         ,Furniture,3,Wednesday,8,2016,4,Thursday,8,2016,1,2016-08-03,2016-08-04,-20.0
Standard Class,333.999,3,15.0,3.9294,Consumer,West,California,Bookcases                                         ,Furniture,13,Sunday,1,2013,18,Friday,1,2013,5,2013-01-13,2013-01-18,1.176470588235294
First Class,556.665,5,15.0,6.549,Corporate,West,California,Bookcases                                         ,Furniture,27,Thursday,10,2016,28,Friday,10,2016,1,2016-10-27,2016-10-28,1.1764705882352944
Standard Class,314.352,3,20.0,-15.7176,Consumer,East,New York,Bookcases                                         ,Furniture,9,Sunday,10,2016,14,Friday,10,2016,5,2016-10-09,2016-10-14,-5.0
Standard Class,523.92,5,20.0,-26.196,Consumer,East,New York,Bookcases                                         ,Furniture,1,Thursday,10,2015,5,Monday,10,2015,4,2015-10-01,2015-10-05,-5.000000000000001
Second Class,344.94,3,0.0,31.0446,Consumer,East,Maryland,Bookcases                                         ,Furniture,4,Friday,9,2015,9,Wednesday,9,2015,5,2015-09-04,2015-09-09,9.0
Second Class,195.466,2,15.0,-13.7976,Consumer,West,California,Bookcases                                         ,Furniture,17,Thursday,7,2014,19,Saturday,7,2014,2,2014-07-17,2014-07-19,-7.0588235294117645
First Class,183.968,2,20.0,-25.2956,Consumer,East,New York,Bookcases                                         ,Furniture,20,Sunday,11,2016,22,Tuesday,11,2016,2,2016-11-20,2016-11-22,-13.750000000000002
First Class,156.3728,2,32.0,-52.8908,Consumer,Central,Texas,Bookcases                                         ,Furniture,29,Saturday,8,2015,1,Tuesday,9,2015,3,2015-08-29,2015-09-01,-33.8235294117647
Second Class,275.952,3,20.0,-37.9434,Home Office,East,New York,Bookcases                                         ,Furniture,25,Monday,11,2013,29,Friday,11,2013,4,2013-11-25,2013-11-29,-13.749999999999998
Standard Class,293.199,3,15.0,-20.6964,Consumer,West,California,Bookcases                                         ,Furniture,5,Friday,9,2014,9,Tuesday,9,2014,4,2014-09-05,2014-09-09,-7.0588235294117645
Standard Class,459.92,4,0.0,41.3928,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,8,Thursday,12,2016,13,Tuesday,12,2016,5,2016-12-08,2016-12-13,9.0
First Class,883.92,5,20.0,-110.49,Consumer,East,New York,Bookcases                                         ,Furniture,2,Monday,12,2013,4,Wednesday,12,2013,2,2013-12-02,2013-12-04,-12.5
Second Class,1352.3976,9,32.0,-437.5404,Consumer,Central,Texas,Bookcases                                         ,Furniture,3,Friday,1,2014,8,Wednesday,1,2014,5,2014-01-03,2014-01-08,-32.35294117647059
Standard Class,300.5328,2,32.0,-97.2312,Home Office,Central,Texas,Bookcases                                         ,Furniture,25,Wednesday,9,2013,30,Monday,9,2013,5,2013-09-25,2013-09-30,-32.35294117647059
Standard Class,353.568,2,20.0,-44.196,Consumer,East,New York,Bookcases                                         ,Furniture,22,Monday,6,2015,27,Saturday,6,2015,5,2015-06-22,2015-06-27,-12.5
Standard Class,176.784,1,20.0,-22.098,Consumer,East,New York,Bookcases                                         ,Furniture,11,Wednesday,3,2015,17,Tuesday,3,2015,6,2015-03-11,2015-03-17,-12.5
Standard Class,353.568,2,20.0,-44.196,Consumer,East,New York,Bookcases                                         ,Furniture,4,Tuesday,6,2013,9,Sunday,6,2013,5,2013-06-04,2013-06-09,-12.5
Second Class,1292.94,3,0.0,77.5764,Corporate,West,Utah,Bookcases                                         ,Furniture,17,Saturday,9,2016,21,Wednesday,9,2016,4,2016-09-17,2016-09-21,6.000000000000001
Standard Class,2154.9,5,0.0,129.294,Consumer,East,New Jersey,Bookcases                                         ,Furniture,12,Wednesday,10,2016,16,Sunday,10,2016,4,2016-10-12,2016-10-16,6.000000000000001
First Class,61.96,4,50.0,-53.2856,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,14,Monday,1,2013,15,Tuesday,1,2013,1,2013-01-14,2013-01-15,-86.0
Standard Class,198.272,8,20.0,-32.2192,Corporate,South,North Carolina,Bookcases                                         ,Furniture,14,Thursday,4,2016,18,Monday,4,2016,4,2016-04-14,2016-04-18,-16.25
Second Class,61.96,2,0.0,4.3372,Home Office,South,Virginia,Bookcases                                         ,Furniture,19,Friday,9,2014,24,Wednesday,9,2014,5,2014-09-19,2014-09-24,7.000000000000001
Standard Class,323.136,4,20.0,12.1176,Consumer,East,New York,Bookcases                                         ,Furniture,30,Friday,12,2016,3,Tuesday,1,2017,4,2016-12-30,2017-01-03,3.75
Standard Class,205.9992,3,32.0,-27.2646,Corporate,Central,Texas,Bookcases                                         ,Furniture,13,Sunday,11,2016,19,Saturday,11,2016,6,2016-11-13,2016-11-19,-13.23529411764706
Standard Class,257.499,3,15.0,24.2352,Consumer,West,California,Bookcases                                         ,Furniture,18,Saturday,4,2015,22,Wednesday,4,2015,4,2015-04-18,2015-04-22,9.411764705882351
Standard Class,242.352,3,20.0,9.0882,Consumer,East,New York,Bookcases                                         ,Furniture,14,Thursday,4,2016,19,Tuesday,4,2016,5,2016-04-14,2016-04-19,3.75
First Class,141.372,2,30.0,-14.1372,Corporate,Central,Illinois,Bookcases                                         ,Furniture,24,Thursday,12,2015,25,Friday,12,2015,1,2015-12-24,2015-12-25,-10.0
Standard Class,302.94,3,0.0,69.6762,Consumer,South,Virginia,Bookcases                                         ,Furniture,21,Thursday,7,2016,27,Wednesday,7,2016,6,2016-07-21,2016-07-27,23.0
Standard Class,405.86,7,0.0,32.4688,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,9,Wednesday,12,2015,13,Sunday,12,2015,4,2015-12-09,2015-12-13,8.0
